epoch,acc,loss,val_acc,val_loss
0,0.36278,1.7240113485336304,0.487,1.4189798929214477
1,0.49688,1.3992091751861573,0.5441,1.278472421169281
2,0.55182,1.2628081704807281,0.5894,1.15265009598732
3,0.59144,1.1616936330890655,0.6266,1.0528665076255799
4,0.62318,1.0769922044467926,0.6535,0.9909806170463562
5,0.64528,1.0144408320331573,0.6746,0.9237227395534515
6,0.66436,0.9679527557563782,0.6844,0.9116129308223725
7,0.67586,0.9284637273025512,0.7017,0.858222407579422
8,0.69106,0.8900901066398621,0.7161,0.818459465265274
9,0.69778,0.8695629557609558,0.7097,0.8382810206413269
10,0.70762,0.8446826756334305,0.7245,0.8032999197006225
11,0.71346,0.826947487578392,0.7287,0.7826640727996826
12,0.72068,0.8125878475189209,0.7297,0.7837669403553009
13,0.72562,0.801142326259613,0.7299,0.7725409647226333
14,0.72888,0.7922564843845368,0.7363,0.7762320229291916
